Wall time,Step,Value
1585694451.2825472,0,5.4188618659973145
1585694612.2916968,1,4.74920654296875
1585694772.0151052,2,4.692237854003906
1585694955.860706,3,4.653058052062988
1585695156.4707732,4,4.627409934997559
1585695345.474375,5,4.6024298667907715
1585695530.396946,6,4.594232082366943
1585695722.5348353,7,4.570329189300537
1585695903.2697527,8,4.555726528167725
1585696085.9898338,9,4.538846969604492
1585696267.9321551,10,4.519976615905762
1585696456.2917147,11,4.506479740142822
1585696641.2829351,12,4.487462043762207
1585696827.1519668,13,4.475628852844238
1585697014.745949,14,4.466396331787109
1585697206.2304811,15,4.446382522583008
1585697396.1492963,16,4.445971488952637
1585697583.3757398,17,4.433840274810791
1585697777.532354,18,4.42185115814209
1585697965.619478,19,4.421247959136963
1585698149.4756365,20,4.41266393661499
1585698335.2073257,21,4.399472713470459
1585698521.4656746,22,4.3803019523620605
1585698709.9824417,23,4.379683494567871
1585698899.692309,24,4.377020359039307
1585699083.5112262,25,4.3669114112854
1585699274.828952,26,4.362561225891113
1585699463.1455326,27,4.354938983917236
1585699641.6842551,28,4.353533744812012
1585699823.9762857,29,4.343103885650635
1585699997.9393518,30,4.332735061645508
1585700190.704364,31,4.325310707092285
1585700364.8118937,32,4.323347091674805
1585700555.633392,33,4.318759441375732
1585700745.4342034,34,4.310051441192627
1585700933.3714411,35,4.310878753662109
1585701107.519058,36,4.295839786529541
1585701295.719354,37,4.293575763702393
1585701467.4307342,38,4.284451961517334
1585701656.7695224,39,4.288882255554199
1585701843.008742,40,4.274420261383057
1585702033.735118,41,4.26206636428833
1585702224.9475033,42,4.264812469482422
1585702412.0500026,43,4.257465362548828
1585702597.3689725,44,4.253978252410889
1585702790.7502365,45,4.248337268829346
1585702978.2240036,46,4.243849277496338
1585703167.0090156,47,4.23888635635376
1585703356.917394,48,4.237240791320801
1585703546.4301457,49,4.225880146026611
1585703737.537426,50,4.218287944793701
1585703927.5066288,51,4.215185165405273
1585704118.3913445,52,4.213119029998779
1585704306.1135116,53,4.205724716186523
1585704495.0150633,54,4.197319984436035
1585704680.5003495,55,4.195545673370361
1585704870.26471,56,4.186247825622559
1585705053.3070898,57,4.188869953155518
1585705242.7514145,58,4.179978370666504
1585705424.9462264,59,4.168564796447754
1585705614.3977206,60,4.1618757247924805
1585705799.956715,61,4.161995887756348
1585705987.324126,62,4.157772064208984
1585706173.4056563,63,4.1563615798950195
1585706358.6767604,64,4.150508403778076
1585706538.2674901,65,4.145025253295898
1585706728.5740137,66,4.143552303314209
1585706921.5628257,67,4.137190818786621
1585707109.7552254,68,4.137238502502441
1585707293.070848,69,4.12106990814209
1585707480.413241,70,4.124987602233887
1585707664.4774406,71,4.120950698852539
1585707853.270167,72,4.120682716369629
1585708034.3387518,73,4.105234622955322
1585708222.3925762,74,4.104835033416748
1585708412.5074382,75,4.099242210388184
1585708604.9730632,76,4.099991798400879
1585708795.2819169,77,4.089833736419678
1585708981.8352463,78,4.085978984832764
1585709172.2734096,79,4.089718341827393
1585709363.363218,80,4.081484317779541
1585709554.9688425,81,4.082971572875977
1585709745.1941624,82,4.0778117179870605
1585709934.9430792,83,4.0746612548828125
1585710126.7102978,84,4.067856311798096
1585710318.6645634,85,4.066745281219482
1585710511.9777677,86,4.06240177154541
1585710704.0979943,87,4.059329986572266
1585710897.0518107,88,4.0577392578125
1585711089.2626944,89,4.054236888885498
1585711275.9516482,90,4.045749187469482
1585711453.703382,91,4.045091152191162
1585711642.7030687,92,4.038151264190674
1585711830.6239035,93,4.034038543701172
1585712024.8854592,94,4.039747714996338
1585712216.8753788,95,4.028980731964111
1585712403.9452114,96,4.031180381774902
1585712579.4743428,97,4.0185227394104
1585712766.285436,98,4.0195841789245605
1585712940.074516,99,4.0175628662109375
1585713127.1647723,100,4.014372825622559
1585713301.198004,101,4.010951042175293
1585713493.000695,102,4.006356239318848
1585713678.7181203,103,3.9991817474365234
